TEXT REPORT

Test Program: FAN5069 (FC-ROOM) No Version#
Lot ID: CUR020104_R25_R1
Operator: OPERATOR
Computer: TMT-23

Date: 01/27/24 08:53:12

Serial Number: 1
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5894| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5470| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5391| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5334| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5472| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.06 |EN_PIN_7        |      -0.5077| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.07 |ILIM_PIN_3      |      -0.4688| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.08 |SS_PIN_4        |      -0.5903| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.09 |COMP_PIN_5      |      -0.5906| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.10 |FB_PIN_6        |      -0.5913| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.11 |RAMP_PIN_14     |      -0.7215| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.12 |FBLDO_PIN_1     |      -0.5903| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.13 |GLDO_PIN_16     |      -0.6409| 1 |      v |        -0.9 |       -0.35 |              |
| 001.02.01 |IVCC NORMAL     |       7.5183| 1 |     mA |         1.1 |          14 |       NORMAL |
| 001.02.02 |IEN NORMAL      |      -0.0017| 1 |     uA |          -4 |           4 |       NORMAL |
| 001.02.03 |IFB NORMAL      |      -0.2449| 1 |     uA |        -0.9 |         0.9 |       NORMAL |
| 001.02.04 |VCC_5_6 SHUNT   |       5.6899| 1 |      V |         5.5 |        5.85 |        SHUNT |
| 001.02.05 |VCC_5_9 SHUNT   |       5.7387| 1 |      V |         5.5 |        5.87 |        SHUNT |
| 001.02.06 |VCC QUIESENT    |       6.9394| 1 |     mA |        1.01 |           9 |     QUIESENT |
| 001.03.01 |IVCC DISABLE    |     153.0952| 1 |     uA |        50.1 |         350 |      DISABLE |
| 001.03.02 |IEN DISABLE     |     -55.1640| 1 |     uA |         -78 |         -40 |      DISABLE |
| 001.03.03 |IFB DISABLE     |      -0.0378| 1 |     uA |          -1 |           1 |      DISABLE |
| 001.04.01 |EN Rising       |       1.3050| 1 |      V |         1.1 |         1.6 |    THRESHOLD |
| 001.04.02 |EN Falling      |       1.0950| 1 |      V |        0.92 |         1.4 |    THRESHOLD |
| 001.04.03 |EN Hyst         |       0.2100| 1 |      V |           0 |           0 |    THRESHOLD |
| 001.05.01 |VCC_UVLO RISING |       4.3800| 1 |      V |        4.02 |        4.48 |         UVLO |
| 001.05.02 |VCC_UVLO FALLIN |       3.8700| 1 |      V |        3.62 |        4.02 |         UVLO |
| 001.05.03 |VCC_UVLO HYSTER |       0.5100| 1 |      V |         0.4 |        0.66 |         UVLO |
| 001.06.01 |Iss@ SS= 0      |      -9.9844| 1 |     uA |       -11.8 |        -8.2 |              |
| 001.06.02 |Iss @ SS=4.5    |      -9.1730| 1 |     uA |       -12.8 |        -7.2 |              |
| 001.06.03 |SS Threshold    |       1.2150| 1 |      V |        1.12 |        1.38 |              |
| 001.07.01 |OPEN FREQ HD    |     313.8159| 1 |    KHZ |         243 |         357 |              |
| 001.07.02 |OPEN FREQ LD    |     313.0995| 1 |    KHZ |         243 |         357 |              |
| 001.07.03 |RISE TIME HD    |      37.6845| 1 |     nS |          10 |          75 |              |
| 001.07.04 |FALL TIME HD    |      28.1158| 1 |     nS |          10 |          75 |              |
| 001.07.05 |RISE TIME LD    |      25.0674| 1 |     nS |          10 |          75 |              |
| 001.07.06 |FALL TIME LD    |      28.7828| 1 |     nS |          10 |          75 |              |
| 001.07.07 |DEAD T HD TO LD |      23.8373| 1 |     nS |          10 |          90 |              |
| 001.07.08 |DEAD T LD TO HD |      42.4505| 1 |     nS |          10 |          90 |              |
| 001.07.09 |OPEN FREQ LD    |     201.0527| 1 |    KHZ |         155 |         245 |              |
| 001.07.10 |OPEN FREQ HD    |     201.0431| 1 |    KHZ |         155 |         245 |              |
| 001.08.01 |Pwm DCycle High |      73.8248| 1 |      % |          47 |          92 |  COMP LINEAR |
| 001.08.02 |Pwm DCycle Low  |      39.3707| 1 |      % |          23 |          62 |  COMP LINEAR |
| 001.09.01 |ILIM VOLTAGE    |       4.9011| 1 |      V |         4.3 |         5.7 |              |
| 001.09.02 |ILIM CURRENT    |       9.8023| 1 |     uA |        9.15 |       10.85 |              |
| 001.10.01 |EA SOURCE       |   -2563.3723| 1 |     uA |       -4500 |       -1000 |              |
| 001.10.02 |EA I SINK       |    9799.6563| 1 |     uA |        5000 |    1.5e+004 |              |
| 001.10.03 |EA_OUT HIGH     |       3.6229| 1 |      V |        3.45 |        3.95 |              |
| 001.10.04 |EA_OUT HI LOAD  |       3.5241| 1 |      V |        3.45 |        3.95 |              |
| 001.10.05 |EA_OUT LOW      |       0.0649| 1 |      V |         4.2 |         0.2 |              |
| 001.11.01 |ERROR AMP OFFSE |       0.0100| 1 |      V |      -0.005 |       0.022 |              |
| 001.11.02 |RAMP AMPLITUDE  |       1.8289| 1 |      V |        1.45 |       1.925 |     THESHOLD |
| 001.12.01 |LDO OUT VOLTAGE |       1.1971| 1 |      V |       1.175 |       1.225 |              |
| 001.12.02 |FBLDO ISOURCE   |       4.9233| 1 |      V |         4.5 |         5.5 |              |
| 001.12.03 |FBLDO ISINK     |       0.0457| 1 |      V |        -0.5 |         0.2 |              |
| 001.12.04 |FB RISING       |       0.8050| 1 |      V |        0.78 |       0.823 |              |
| 001.12.05 |SS LDO STARTUP  |       2.1400| 1 |      V |        1.85 |        2.45 |              |
| 001.13.01 |OVP VSEN PIN 23 |     113.3500| 1 |      % |       110.5 |         122 |              |
| 001.13.02 |UVP VSEN PIN 23 |      75.2250| 1 |      % |        65.5 |        79.5 |              |
| 001.14.01 |Ramp Voltage    |       1.9073| 1 |      V |        1.83 |        2.02 |              |
| 001.14.02 |Close Loop _N_l |       1.4823| 1 |      V |        1.46 |       1.535 |              |
| 001.14.03 |Close Loop _w_l |       1.4900| 1 |      V |        1.46 |       1.535 |              |
| 001.14.04 |Fb pin voltage  |       0.8088| 1 |      V |       0.795 |       0.815 |              |
| 001.14.05 |Rt pin voltage  |       1.7869| 1 |      V |        1.74 |        1.84 |              |
| 001.15.01 |ILIM VOLTAGE    |       4.9794| 1 |      V |         4.3 |         5.7 |              |
| 001.15.02 |ILIM_VCC_5_0V   |       9.9589| 1 |     uA |        9.15 |       10.85 |              |
| 001.15.03 |ILIM_VCC_5_6V   |       9.9669| 1 |     uA |        9.15 |          11 |              |
| 001.15.04 |ILIM_VCC_5_7V   |       9.9713| 1 |     uA |        9.15 |          11 |              |
| 001.15.05 |ILIM_VCC_5_8V   |       9.9637| 1 |     uA |        9.15 |          11 |              |
| 001.15.06 |ILIM_VCC_5_6_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.07 |ILIM_VCC_5_7_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.08 |ILIM_VCC_5_8_F  |       1.0000| 1 |        |         0.5 |         1.5 |              |
| 001.15.09 |SHUNT_REG_ON    |       5.7000| 1 |      V |        5.55 |           6 |              |
| 001.15.10 |Ilim_Delta      |       0.0213| 1 |      V |       -0.12 |       0.044 |              |

Serial Number: 2
|Test#      |Test Name       |  Value      |P/F|Unit    |Min Limit    |MaxLimit     |  Notes       |
| 001.01.01 |RT_PIN_2        |      -0.5913| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.02 |BOOT_PIN_11     |      -0.5443| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.03 |HDRV_PIN_10     |      -0.5380| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.04 |LDRV_PIN_13     |      -0.5325| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.05 |VCC_PIN_15      |      -0.5118| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.06 |EN_PIN_7        |      -0.5074| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.07 |ILIM_PIN_3      |      -0.4682| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.08 |SS_PIN_4        |      -0.5898| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.09 |COMP_PIN_5      |      -0.5910| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.10 |FB_PIN_6        |      -0.5915| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.11 |RAMP_PIN_14     |      -0.7190| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.12 |FBLDO_PIN_1     |      -0.5930| 1 |      v |        -0.9 |       -0.35 |              |
| 001.01.13 |GLDO_PIN_16     |      -0.5882| 1 |      v |        -0.9 |       -0.35 |              |
| 001.02.01 |IVCC NORMAL     |       7.9188| 1 |     mA |         1.1 |          14 |       NORMAL |
| 001.02.02 |IEN NORMAL      |      -0.0036| 1 |     uA |          -4 |           4 |       NORMAL |
| 001.02.03 |IFB NORMAL      |      -0.2427| 1 |     uA |        -0.9 |         0.9 |       NORMAL |
| 001.02.04 |VCC_5_6 SHUNT   |       5.6615| 1 |      V |         5.5 |        5.85 |        SHUNT |
| 001.02.05 |VCC_5_9 SHUNT   |       5.7110| 1 |      V |         5.5 |        5.87 |        SHUNT |
| 001.02.06 |VCC QUIESENT    |       6.8619| 1 |     mA |        1.01 |           9 |     QUIESENT |
| 001.03.01 |IVCC DISABLE    |     146.2701| 1 |     uA |        50.1 |         350 |      DISABLE |
| 001.03.02 |IEN DISABLE     |     -53.6314| 1 |     uA |         -78 |         -40 |      DISABLE |
| 001.03.03 |IFB DISABLE     |      -0.0151| 1 |     uA |          -1 |           1 |      DISABLE |
| 001.04.01 |EN Rising       |       1.2800| 1 |      V |         1.1 |         1.6 |    THRESHOLD |
| 001.04.02 |EN Falling      |       1.0750| 1 |      V |        0.92 |         1.4 |    THRESHOLD |
| 001.04.03 |EN Hyst         |       0.2050| 1 |      V |           0 |           0 |    THRESHOLD |
